FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
31,175.021,192.168.0.153,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43412,1.26842,108.993,96.4,0.0370548,0.0271487,0.7712,76,0.115538,0.0585586,Sybil Attack
32,175.025,192.168.0.153,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.2661,0.0458333,0.0283231,0.778129,76,0.10757,0.00892857,Sybil Attack
33,175.007,192.168.0.154,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.002,92.0651,0.0224519,0.0246149,0.73652,76,0.155378,0.0660377,Sybil Attack
34,175.008,192.168.0.154,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43422,1.26851,109,96.4068,0.0198062,0.018714,0.771254,76,0.115538,0.0540541,Sybil Attack
35,175.01,192.168.0.154,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4058,0.0256329,0.0267775,0.771247,76,0.115538,0.036036,Sybil Attack
36,175.014,192.168.0.154,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.6271,0.0360456,0.0251615,0.733017,76,0.159363,0.0331754,Sybil Attack
37,175.017,192.168.0.154,9,192.168.0.39,9,UDP,251,214,37,19076,16264,1.43414,1.22274,108.995,92.928,0.0346832,0.0250402,0.743424,76,0.14741,0.00934579,Sybil Attack
38,175.018,192.168.0.154,9,192.168.0.43,9,UDP,251,214,37,19076,16264,1.43414,1.22273,108.994,92.9275,0.0357705,0.0266042,0.74342,76,0.14741,0.00934579,Sybil Attack
39,175.021,192.168.0.154,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43412,1.26842,108.993,96.4,0.0370885,0.0271481,0.7712,76,0.115538,0.0585586,Sybil Attack
40,175.025,192.168.0.154,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.2661,0.0467689,0.0283869,0.778129,76,0.10757,0.00892857,Sybil Attack
41,175.007,192.168.0.155,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.002,92.065,0.0224852,0.0246149,0.73652,76,0.155378,0.0660377,Sybil Attack
42,175.008,192.168.0.155,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43422,1.26851,109,96.4068,0.0198395,0.018714,0.771254,76,0.115538,0.0540541,Sybil Attack
43,175.01,192.168.0.155,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4058,0.0256664,0.0267778,0.771246,76,0.115538,0.036036,Sybil Attack
44,175.014,192.168.0.155,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.6271,0.0360793,0.0251612,0.733017,76,0.159363,0.0331754,Sybil Attack
45,175.017,192.168.0.155,9,192.168.0.39,9,UDP,251,214,37,19076,16264,1.43414,1.22274,108.995,92.928,0.0347163,0.0250405,0.743424,76,0.14741,0.00934579,Sybil Attack
46,175.018,192.168.0.155,9,192.168.0.43,9,UDP,251,214,37,19076,16264,1.43414,1.22273,108.994,92.9275,0.0358036,0.0266042,0.74342,76,0.14741,0.00934579,Sybil Attack
47,175.021,192.168.0.155,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43412,1.26842,108.993,96.4,0.037122,0.0271478,0.7712,76,0.115538,0.0585586,Sybil Attack
48,175.025,192.168.0.155,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.2661,0.0458999,0.0283243,0.778129,76,0.10757,0.00892857,Sybil Attack
49,175.007,192.168.0.156,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.002,92.065,0.0225203,0.0246186,0.73652,76,0.155378,0.0660377,Sybil Attack
50,175.008,192.168.0.156,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43422,1.26851,109,96.4068,0.021663,0.0218506,0.771254,76,0.115538,0.0540541,Sybil Attack
51,175.01,192.168.0.156,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4058,0.0268556,0.0290899,0.771246,76,0.115538,0.036036,Sybil Attack
52,175.014,192.168.0.156,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.6271,0.0361123,0.0251608,0.733016,76,0.159363,0.0331754,Sybil Attack
53,175.017,192.168.0.156,9,192.168.0.39,9,UDP,251,214,37,19076,16264,1.43414,1.22274,108.995,92.928,0.0347498,0.0250414,0.743424,76,0.14741,0.00934579,Sybil Attack
54,175.018,192.168.0.156,9,192.168.0.43,9,UDP,251,214,37,19076,16264,1.43414,1.22273,108.994,92.9275,0.035837,0.0266048,0.74342,76,0.14741,0.00934579,Sybil Attack
55,175.021,192.168.0.156,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43412,1.26842,108.993,96.4,0.0371571,0.0271522,0.7712,76,0.115538,0.0585586,Sybil Attack
56,175.025,192.168.0.156,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.2661,0.0468354,0.0283872,0.778129,76,0.10757,0.00892857,Sybil Attack
57,175.007,192.168.0.157,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.001,92.065,0.0225536,0.0246186,0.73652,76,0.155378,0.0660377,Sybil Attack
58,175.008,192.168.0.157,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43422,1.26851,109,96.4068,0.0216971,0.0218524,0.771254,76,0.115538,0.0540541,Sybil Attack
59,175.01,192.168.0.157,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4058,0.0257324,0.0267769,0.771246,76,0.115538,0.036036,Sybil Attack
60,175.014,192.168.0.157,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.627,0.0361467,0.0251605,0.733016,76,0.159363,0.0331754,Sybil Attack
61,175.017,192.168.0.157,9,192.168.0.39,9,UDP,251,214,37,19076,16264,1.43414,1.22274,108.995,92.928,0.034783,0.0250417,0.743424,76,0.14741,0.00934579,Sybil Attack
62,175.018,192.168.0.157,9,192.168.0.43,9,UDP,251,214,37,19076,16264,1.43414,1.22273,108.994,92.9275,0.0358711,0.0266055,0.74342,76,0.14741,0.00934579,Sybil Attack
63,175.021,192.168.0.157,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43412,1.26842,108.993,96.4,0.0371889,0.0271472,0.7712,76,0.115538,0.0585586,Sybil Attack
64,175.025,192.168.0.157,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.266,0.0459678,0.0283254,0.778128,76,0.10757,0.00892857,Sybil Attack
65,175.007,192.168.0.158,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.001,92.065,0.0225847,0.0246143,0.73652,76,0.155378,0.0660377,Sybil Attack
66,175.009,192.168.0.158,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43422,1.26851,109,96.4067,0.0217316,0.0218547,0.771254,76,0.115538,0.0540541,Sybil Attack
67,175.01,192.168.0.158,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4058,0.0257657,0.0267769,0.771246,76,0.115538,0.036036,Sybil Attack
68,175.014,192.168.0.158,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.627,0.0361801,0.0251609,0.733016,76,0.159363,0.0331754,Sybil Attack
69,175.017,192.168.0.158,9,192.168.0.39,9,UDP,251,214,37,19076,16264,1.43414,1.22274,108.995,92.9279,0.0348162,0.025042,0.743424,76,0.14741,0.00934579,Sybil Attack
70,175.018,192.168.0.158,9,192.168.0.43,9,UDP,251,214,37,19076,16264,1.43414,1.22273,108.994,92.9275,0.0359042,0.0266055,0.74342,76,0.14741,0.00934579,Sybil Attack
71,175.021,192.168.0.158,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43411,1.26842,108.993,96.4,0.0372224,0.0271469,0.7712,76,0.115538,0.0585586,Sybil Attack
72,175.025,192.168.0.158,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.266,0.0459993,0.028326,0.778128,76,0.10757,0.00892857,Sybil Attack
73,175.007,192.168.0.159,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.001,92.065,0.0226185,0.0246152,0.73652,76,0.155378,0.0660377,Sybil Attack
74,175.009,192.168.0.159,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43422,1.26851,109,96.4067,0.0217639,0.021853,0.771254,76,0.115538,0.0540541,Sybil Attack
75,175.01,192.168.0.159,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4057,0.0257994,0.0267778,0.771246,76,0.115538,0.036036,Sybil Attack
76,175.014,192.168.0.159,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.627,0.0367761,0.0262836,0.733016,76,0.159363,0.0331754,Sybil Attack
77,175.017,192.168.0.159,9,192.168.0.39,9,UDP,251,214,37,19076,16264,1.43414,1.22274,108.995,92.9279,0.0348493,0.0250423,0.743423,76,0.14741,0.00934579,Sybil Attack
78,175.018,192.168.0.159,9,192.168.0.43,9,UDP,251,214,37,19076,16264,1.43414,1.22273,108.994,92.9274,0.0359375,0.0266051,0.74342,76,0.14741,0.00934579,Sybil Attack
79,175.021,192.168.0.159,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43411,1.26842,108.993,96.3999,0.037256,0.0271466,0.771199,76,0.115538,0.0585586,Sybil Attack
80,175.025,192.168.0.159,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.266,0.0460329,0.0283269,0.778128,76,0.10757,0.00892857,Sybil Attack
81,175.007,192.168.0.160,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.001,92.0649,0.0226517,0.0246152,0.73652,76,0.155378,0.0660377,Sybil Attack
82,175.009,192.168.0.160,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43422,1.27422,109,96.841,0.0249074,0.0244637,0.774728,76,0.111554,0.0538117,Sybil Attack
83,175.01,192.168.0.160,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4057,0.0258331,0.0267787,0.771246,76,0.115538,0.036036,Sybil Attack
84,175.014,192.168.0.160,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.627,0.0368099,0.0262832,0.733016,76,0.159363,0.0331754,Sybil Attack
85,175.017,192.168.0.160,9,192.168.0.39,9,UDP,251,215,36,19076,16340,1.43414,1.22845,108.995,93.3622,0.0381295,0.0312495,0.746897,76,0.143426,0.00930233,Sybil Attack
86,175.018,192.168.0.160,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43414,1.22844,108.994,93.3617,0.0392173,0.0328039,0.746893,76,0.143426,0.00930233,Sybil Attack
87,175.021,192.168.0.160,9,192.168.0.56,9,UDP,251,223,28,19076,16948,1.43411,1.27413,108.993,96.8341,0.0404335,0.0331304,0.774673,76,0.111554,0.058296,Sybil Attack
88,175.025,192.168.0.160,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.266,0.0469669,0.0283848,0.778128,76,0.10757,0.00892857,Sybil Attack
89,175.007,192.168.0.161,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.001,92.0649,0.0226853,0.0246158,0.736519,76,0.155378,0.0660377,Sybil Attack
90,175.009,192.168.0.161,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43422,1.27422,109,96.841,0.0249395,0.0244611,0.774728,76,0.111554,0.0538117,Sybil Attack
91,175.01,192.168.0.161,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4057,0.0258655,0.0267769,0.771246,76,0.115538,0.036036,Sybil Attack
92,175.014,192.168.0.161,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.627,0.0368437,0.026283,0.733016,76,0.159363,0.0331754,Sybil Attack
93,175.017,192.168.0.161,9,192.168.0.39,9,UDP,251,215,36,19076,16340,1.43414,1.22845,108.995,93.3621,0.0381634,0.0312514,0.746897,76,0.143426,0.00930233,Sybil Attack
94,175.018,192.168.0.161,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43414,1.22844,108.994,93.3617,0.0392505,0.0328039,0.746893,76,0.143426,0.00930233,Sybil Attack
95,175.021,192.168.0.161,9,192.168.0.56,9,UDP,251,223,28,19076,16948,1.43411,1.27413,108.993,96.8341,0.0404658,0.0331328,0.774673,76,0.111554,0.058296,Sybil Attack
96,175.025,192.168.0.161,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.266,0.0470001,0.0283851,0.778128,76,0.10757,0.00892857,Sybil Attack
97,175.007,192.168.0.162,9,192.168.0.16,9,UDP,251,211,40,19076,16036,1.43423,1.20567,109.001,91.6306,0.021724,0.0238432,0.733045,76,0.159363,0.0663507,Sybil Attack
98,175.009,192.168.0.162,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43421,1.27422,109,96.8409,0.0249703,0.0244575,0.774727,76,0.111554,0.0538117,Sybil Attack
99,175.01,192.168.0.162,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4057,0.0258994,0.0267781,0.771245,76,0.115538,0.036036,Sybil Attack
100,175.014,192.168.0.162,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.627,0.0389463,0.0304205,0.733016,76,0.159363,0.0331754,Sybil Attack
101,175.017,192.168.0.162,9,192.168.0.39,9,UDP,251,215,36,19076,16340,1.43414,1.22845,108.995,93.3621,0.0381975,0.0312529,0.746897,76,0.143426,0.00930233,Sybil Attack
102,175.018,192.168.0.162,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43414,1.22844,108.994,93.3616,0.0392799,0.0328015,0.746893,76,0.143426,0.00930233,Sybil Attack
103,175.021,192.168.0.162,9,192.168.0.56,9,UDP,251,223,28,19076,16948,1.43411,1.27413,108.993,96.8341,0.0405017,0.0331316,0.774673,76,0.111554,0.058296,Sybil Attack
104,175.025,192.168.0.162,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27982,108.99,97.266,0.0470335,0.0283854,0.778128,76,0.10757,0.00892857,Sybil Attack
105,175.007,192.168.0.163,9,192.168.0.16,9,UDP,251,211,40,19076,16036,1.43423,1.20567,109.001,91.6306,0.0217573,0.0238432,0.733045,76,0.159363,0.0663507,Sybil Attack
106,175.009,192.168.0.163,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43421,1.27422,109,96.8409,0.0256953,0.0258395,0.774727,76,0.111554,0.0538117,Sybil Attack
107,175.01,192.168.0.163,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4057,0.0289806,0.0315761,0.771245,76,0.115538,0.036036,Sybil Attack
108,175.014,192.168.0.163,9,192.168.0.34,9,UDP,251,212,39,19076,16112,1.43417,1.21133,108.997,92.0612,0.042069,0.032632,0.73649,76,0.155378,0.0330189,Sybil Attack
109,175.017,192.168.0.163,9,192.168.0.39,9,UDP,251,216,35,19076,16416,1.43414,1.23416,108.995,93.7963,0.0433769,0.0376279,0.750371,76,0.139442,0.0138889,Sybil Attack
110,175.018,192.168.0.163,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43413,1.22844,108.994,93.3616,0.0464682,0.0363729,0.746893,76,0.143426,0.00930233,Sybil Attack
111,175.021,192.168.0.163,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43411,1.26842,108.993,96.3999,0.0404407,0.0332776,0.771199,76,0.115538,0.0585586,Sybil Attack
112,175.025,192.168.0.163,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27981,108.99,97.2659,0.0461643,0.0283278,0.778127,76,0.10757,0.00892857,Sybil Attack
113,175.007,192.168.0.164,9,192.168.0.16,9,UDP,251,211,40,19076,16036,1.43423,1.20567,109.001,91.6306,0.0217968,0.0238371,0.733045,76,0.159363,0.0663507,Sybil Attack
114,175.009,192.168.0.164,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43421,1.27422,109,96.8409,0.0257287,0.0258392,0.774727,76,0.111554,0.0538117,Sybil Attack
115,175.01,192.168.0.164,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4056,0.0291442,0.0318367,0.771245,76,0.115538,0.036036,Sybil Attack
116,175.014,192.168.0.164,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.6269,0.0426399,0.03635,0.733015,76,0.159363,0.0331754,Sybil Attack
117,175.018,192.168.0.164,9,192.168.0.39,9,UDP,251,216,35,19076,16416,1.43414,1.23416,108.995,93.7963,0.04341,0.0376282,0.750371,76,0.139442,0.0138889,Sybil Attack
118,175.018,192.168.0.164,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43413,1.22844,108.994,93.3616,0.0447052,0.0364843,0.746893,76,0.143426,0.00930233,Sybil Attack
119,175.021,192.168.0.164,9,192.168.0.56,9,UDP,251,221,30,19076,16796,1.43411,1.26271,108.993,95.9656,0.0393771,0.0291821,0.767725,76,0.119522,0.0271493,Sybil Attack
120,175.025,192.168.0.164,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27981,108.99,97.2659,0.0506955,0.0355771,0.778127,76,0.10757,0.00892857,Sybil Attack
121,175.033,192.168.0.165,9,192.168.0.16,9,UDP,251,211,40,19076,16036,1.43402,1.20549,108.985,91.617,0.0289223,0.0275816,0.732936,76,0.159363,0.0663507,Sybil Attack
122,175.033,192.168.0.165,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43401,1.26833,108.985,96.393,0.0444446,0.0370271,0.771144,76,0.115538,0.0495495,Sybil Attack
123,175.011,192.168.0.165,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4056,0.0304913,0.0341425,0.771245,76,0.115538,0.036036,Sybil Attack
124,175.014,192.168.0.165,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.6269,0.0426733,0.0363496,0.733015,76,0.159363,0.0331754,Sybil Attack
125,175.018,192.168.0.165,9,192.168.0.39,9,UDP,251,215,36,19076,16340,1.43414,1.22845,108.995,93.3621,0.0413758,0.0374171,0.746897,76,0.143426,0.00930233,Sybil Attack
126,175.018,192.168.0.165,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43413,1.22844,108.994,93.3616,0.0413539,0.0327438,0.746893,76,0.143426,0.00930233,Sybil Attack
127,175.021,192.168.0.165,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43411,1.26842,108.993,96.3998,0.0435235,0.0336826,0.771199,76,0.115538,0.0315315,Sybil Attack
128,175.025,192.168.0.165,9,192.168.0.65,9,UDP,251,223,28,19076,16948,1.43408,1.2741,108.99,96.8317,0.0505074,0.0367896,0.774653,76,0.111554,0.00896861,Sybil Attack
129,175.007,192.168.0.166,9,192.168.0.16,9,UDP,251,211,40,19076,16036,1.43423,1.20567,109.001,91.6306,0.0324628,0.0381039,0.733045,76,0.159363,0.0663507,Sybil Attack
130,175.009,192.168.0.166,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43421,1.26851,109,96.4066,0.0261171,0.0257904,0.771253,76,0.115538,0.0495495,Sybil Attack
131,175.011,192.168.0.166,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.26849,108.999,96.4056,0.0318303,0.0346808,0.771245,76,0.115538,0.036036,Sybil Attack
132,175.014,192.168.0.166,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.6269,0.0468062,0.0402712,0.733015,76,0.159363,0.028436,Sybil Attack
133,175.018,192.168.0.166,9,192.168.0.39,9,UDP,251,217,34,19076,16492,1.43414,1.23988,108.995,94.2305,0.048446,0.0476083,0.753844,76,0.135458,0.0138249,Sybil Attack
134,175.018,192.168.0.166,9,192.168.0.43,9,UDP,251,216,35,19076,16416,1.43413,1.23416,108.994,93.7958,0.0484902,0.0436955,0.750366,76,0.139442,0.00925926,Sybil Attack
135,175.021,192.168.0.166,9,192.168.0.56,9,UDP,251,222,29,19076,16872,1.43411,1.26842,108.993,96.3998,0.0435571,0.033682,0.771198,76,0.115538,0.0315315,Sybil Attack
136,175.025,192.168.0.166,9,192.168.0.65,9,UDP,251,224,27,19076,17024,1.43408,1.27981,108.99,97.2659,0.0539468,0.0390297,0.778127,76,0.10757,0.00892857,Sybil Attack
137,175.007,192.168.0.167,9,192.168.0.16,9,UDP,251,211,40,19076,16036,1.43423,1.20567,109.001,91.6306,0.0364039,0.0335447,0.733045,76,0.159363,0.0663507,Sybil Attack
138,175.009,192.168.0.167,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43421,1.26851,109,96.4066,0.0348502,0.0380985,0.771253,76,0.115538,0.0495495,Sybil Attack
139,175.011,192.168.0.167,9,192.168.0.24,9,UDP,251,224,27,19076,17024,1.4342,1.27992,108.999,97.2741,0.0395034,0.0433098,0.778193,76,0.10757,0.0357143,Sybil Attack
